Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,type,abs_zScoreDiff,PostNeg,zScore_rank
Aspergillus rambellii,Leucoagaricus sp. SymC.cos,-0.103455565,0.027510507,0.079166245,0.069916941,2.849023901,0.004385359,0.038343254,0.446238122,-/0,Eukaryota,2.849023901,1,rank3
Pseudocercospora musae,Phytopythium vexans,0.117939709,0.011909024,-0.063644149,0.145317598,-2.834435594,0.004590671,0.038938492,0.446238122,+/0,Eukaryota,2.834435594,-1,rank3
Rhizophagus clarus,Edhazardia aedis,0.590177135,0,0.460529535,0,-2.79917626,0.005123316,0.040029762,0.446238122,+/+,Eukaryota,2.79917626,-1,rank3
Butyrivibrio proteoclasticus,Rhizophagus irregularis,0.242158758,1.76E-07,0.067448326,0.12270715,-2.792340103,0.005232832,0.040277778,0.446238122,+/0,Intersect,2.792340103,-1,rank3
[Candida] arabinofermentans,Schizosaccharomyces pombe,0.149885717,0.00136021,0.318822624,7.22E-14,2.789186315,0.005284066,0.040426587,0.446238122,+/+,Eukaryota,2.789186315,1,rank3
Parvimonas micra,Erysiphe pulchra,0.295360777,1.36E-10,0.125021189,0.004117306,-2.780446299,0.005428424,0.040674603,0.446238122,+/+,Intersect,2.780446299,-1,rank3
Sphaerulina musiva,Colletotrichum salicis,-0.060214945,0.200319538,0.117646048,0.006963991,2.776257134,0.00549887,0.040823413,0.446238122,0/+,Eukaryota,2.776257134,1,rank3
Romboutsia ilealis,Pseudocercospora musae,0.182256275,9.41E-05,0.005896349,0.892784662,-2.775290196,0.005515247,0.040873016,0.446238122,+/0,Intersect,2.775290196,-1,rank3
Brachyspira pilosicoli,Coniochaeta ligniaria,0.139068831,0.002983324,-0.037384982,0.392631617,-2.759101421,0.005796054,0.041617063,0.446238122,+/0,Intersect,2.759101421,-1,rank3
Erysiphe pulchra,Colletotrichum fioriniae,-0.107347849,0.022160917,0.06890988,0.114787404,2.749830737,0.005962606,0.042013889,0.446238122,-/0,Eukaryota,2.749830737,1,rank3
Coniochaeta ligniaria,Thielaviopsis punctulata,-0.094113161,0.045046798,0.081252153,0.062834597,2.734926794,0.006239415,0.042609127,0.446238122,-/0,Eukaryota,2.734926794,1,rank3
Clostridium beijerinckii,[Candida] arabinofermentans,0.256947007,2.80E-08,0.087953025,0.043971902,-2.716755319,0.006592533,0.043105159,0.446238122,+/+,Intersect,2.716755319,-1,rank3
Streptococcus equinus,Lipomyces starkeyi,0.134113265,0.0042011,-0.039070104,0.37163449,-2.706802698,0.006793462,0.043253968,0.446238122,+/0,Intersect,2.706802698,-1,rank3
Butyrivibrio proteoclasticus,Dialister pneumosintes,-0.024519778,0.602305651,0.148296236,0.000652828,2.70534794,0.006823288,0.043303571,0.446238122,0/+,Bacteria,2.70534794,1,rank3
Butyrivibrio proteoclasticus,Streptococcus salivarius,0.209194696,6.96E-06,0.039005139,0.37243087,-2.695727214,0.007023516,0.043501984,0.446238122,+/0,Bacteria,2.695727214,-1,rank3
Albugo candida,Aspergillus ochraceoroseus,0.225749207,1.18E-06,0.056590882,0.195455848,-2.691843696,0.007105824,0.04360119,0.446238122,+/0,Eukaryota,2.691843696,-1,rank3
Aspergillus rambellii,Choanephora cucurbitarum,-0.059465832,0.205985612,0.112041536,0.010194275,2.676219863,0.007445778,0.044196429,0.446238122,0/+,Eukaryota,2.676219863,1,rank3
Sphaerulina musiva,Hyaloscypha variabilis,-0.062722369,0.182180144,0.108710621,0.012690935,2.67461371,0.00748154,0.044246032,0.446238122,0/+,Eukaryota,2.67461371,1,rank3
Streptococcus equinus,Pichia kudriavzevii,0.191117994,4.15E-05,0.021681026,0.620142162,-2.672531221,0.007528137,0.044444444,0.446238122,+/0,Intersect,2.672531221,-1,rank3
Streptococcus salivarius,Streptococcus equinus,0.600118226,0,0.698809954,0,2.669826381,0.007589048,0.044444444,0.446238122,+/+,Bacteria,2.669826381,1,rank3
Naumovozyma dairenensis,Thielaviopsis punctulata,-0.07281057,0.121339712,0.098367541,0.024197423,2.669629444,0.0075935,0.044444444,0.446238122,0/+,Eukaryota,2.669629444,1,rank3
Colletotrichum fioriniae,Baudoinia panamericana,0.079856727,0.089214915,0.245907506,1.14E-08,2.660277353,0.007807633,0.044990079,0.446238122,0/+,Eukaryota,2.660277353,1,rank3
Streptococcus salivarius,Albugo candida,0.218533918,2.60E-06,0.051675569,0.237204255,-2.650466186,0.008038077,0.045238095,0.446238122,+/0,Intersect,2.650466186,-1,rank3
Fusobacterium periodonticum,Rhizophagus clarus,-0.075565203,0.107846225,0.094184251,0.030952197,2.647035096,0.008120093,0.045287698,0.446238122,0/+,Intersect,2.647035096,1,rank3
Trichoderma atroviride,Choanephora cucurbitarum,0.209470582,6.76E-06,0.042429805,0.331892646,-2.646856418,0.008124384,0.045287698,0.446238122,+/0,Eukaryota,2.646856418,-1,rank3
Fusobacterium nucleatum,Rhizophagus irregularis,-0.080592072,0.086298574,0.089129748,0.041209523,2.646418756,0.008134904,0.045337302,0.446238122,0/+,Intersect,2.646418756,1,rank3
Prevotella intermedia,Tuber magnatum,-0.032145544,0.49446636,-0.199552563,4.07E-06,-2.646041648,0.008143979,0.045337302,0.446238122,0/-,Intersect,2.646041648,-1,rank3
Fusobacterium periodonticum,Bifidobacterium adolescentis,0.142366088,0.002361288,-0.026513628,0.544407138,-2.642148814,0.008238185,0.045486111,0.446238122,+/0,Bacteria,2.642148814,-1,rank3
Schizosaccharomyces pombe,Thielaviopsis punctulata,-0.108387966,0.020894004,0.060179076,0.168562556,2.629824356,0.008542899,0.046031746,0.446238122,-/0,Eukaryota,2.629824356,1,rank3
Colletotrichum salicis,Thielaviopsis punctulata,-0.096027654,0.040837562,0.072556867,0.096771009,2.628918314,0.008565693,0.046031746,0.446238122,-/0,Eukaryota,2.628918314,1,rank3
Baudoinia panamericana,Schizosaccharomyces pombe,0.086463922,0.065668443,0.250185826,6.19E-09,2.627699004,0.008596454,0.046031746,0.446238122,0/+,Eukaryota,2.627699004,1,rank3
Pseudobutyrivibrio xylanivorans,Dialister pneumosintes,-0.028980358,0.537947611,0.138716777,0.001441341,2.622639618,0.008725151,0.046378968,0.446238122,0/+,Bacteria,2.622639618,1,rank3
Parvimonas micra,Tuber magnatum,-0.100626471,0.032064256,0.067017253,0.125122525,2.614560852,0.008934224,0.046676587,0.446238122,-/0,Intersect,2.614560852,1,rank3
Fusobacterium nucleatum,Paracoccidioides brasiliensis,-0.059021036,0.209404336,0.108038026,0.013256054,2.606239178,0.009154251,0.047073413,0.446238122,0/+,Intersect,2.606239178,1,rank3
Edhazardia aedis,Choanephora cucurbitarum,0.137325757,0.003369242,0.296375325,4.18E-12,2.602991607,0.009241422,0.047271825,0.446238122,+/+,Eukaryota,2.602991607,1,rank3
Pseudobutyrivibrio xylanivorans,Albugo candida,0.292196216,2.18E-10,0.133227288,0.002220834,-2.596762022,0.00941071,0.047420635,0.446238122,+/+,Intersect,2.596762022,-1,rank3
Fusobacterium nucleatum,Tuber magnatum,-0.087056406,0.063833478,0.079377796,0.069170117,2.594906338,0.00946167,0.047470238,0.446238122,0/0,Intersect,2.594906338,1,rank3
Butyrivibrio proteoclasticus,Albugo candida,0.269918754,5.09E-09,0.109589227,0.011984812,-2.593702014,0.009494874,0.047470238,0.446238122,+/+,Intersect,2.593702014,-1,rank3
Romboutsia ilealis,Lactobacillus ruminis,0.159173145,0.000664256,-0.00606597,0.889719767,-2.591512134,0.009555517,0.047569444,0.446238122,+/0,Bacteria,2.591512134,-1,rank3
Lactobacillus ruminis,Naumovozyma dairenensis,0.157420361,0.000762772,-0.007459618,0.86460412,-2.58522607,0.009731517,0.04796627,0.446238122,+/0,Intersect,2.58522607,-1,rank3
Rhizophagus irregularis,Thielaviopsis punctulata,-0.082483851,0.079147547,0.082504874,0.058873072,2.572227985,0.010104633,0.048363095,0.446238122,0/0,Eukaryota,2.572227985,1,rank3
[Eubacterium] eligens,Pichia kudriavzevii,0.237551597,3.04E-07,0.076939805,0.078183925,-2.567887835,0.010232026,0.048462302,0.446238122,+/0,Intersect,2.567887835,-1,rank3
Gemella morbillorum,Baudoinia panamericana,-0.043676991,0.353140354,0.120696594,0.005622103,2.566443553,0.010274735,0.048462302,0.446238122,0/+,Intersect,2.566443553,1,rank3
Romboutsia ilealis,Naumovozyma dairenensis,0.177695783,0.000141171,0.014756536,0.73587028,-2.564142471,0.010343108,0.048611111,0.446238122,+/0,Intersect,2.564142471,-1,rank3
Romboutsia ilealis,Pichia kudriavzevii,0.374952092,0,0.225451957,1.78E-07,-2.563140034,0.01037302,0.048611111,0.446238122,+/+,Intersect,2.563140034,-1,rank3
Pneumocystis murina,Thielaviopsis punctulata,-0.100425024,0.032411745,0.063513129,0.146149514,2.556655891,0.01056837,0.04890873,0.446238122,-/0,Eukaryota,2.556655891,1,rank3
[Eubacterium] eligens,Rhizophagus clarus,0.141823861,0.002454677,-0.020739931,0.635407329,-2.543681067,0.010969119,0.049553571,0.446238122,+/0,Intersect,2.543681067,-1,rank3
