"Organism","Search Weight","Organellar genome(s)","VEuPathDB Project","Chromosomes","Supercontigs","Contigs","Genome Source","Genome Version/Assembly ID","Mega base Pairs","Structural Annotation Source","Structural Annotation Version","Is Reference Strain","NCBI taxon ID","Species","Strain","ChIP chip","EC#","ESTs","Genes","GO terms","Microarray","Non Protein coding genes","Orthologs","Popset Sequences","Protein coding genes","Proteomics","Pseudogenes","RNA Seq","RT-PCR","SNPs","TFBS","User comments"
"Coccidioides immitis RMSCC 2394","10","no","FungiDB","0","23","0","GenBank","GCA_000149895.1","   28.91","GenBank","2015-07-13","no","404692","Coccidioides immitis","RMSCC 2394","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Trichoderma virens Gv29-8","10","no","FungiDB","0","0","93","GenBank","GCA_000170995.2","   39.02","GenBank","Nov 29, 2011","yes","413071","Trichoderma virens","Gv29-8","N/A","1428","4638","12405","8238","N/A","0","12405","12897","12405","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Puccinia graminis f. sp. tritici CRL 75-36-700-3","10","no","FungiDB","0","392","0","GenBank","GCA_000149925.1","   88.72","GenBank","Mar 11, 2015","yes","418459","Puccinia graminis","f. sp. tritici CRL 75-36-700-3","N/A","1093","122","16309","6785","N/A","509","15800","25759","15800","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus niger CBS 513.88","10","no","FungiDB","19","0","0","GenBank","GCA_000002855.2","   33.98","AspGD","Sep 14, 2015","yes","425011","Aspergillus niger","CBS 513.88","N/A","3237","6071","14403","14032","N/A","346","14057","69807","14057","N/A","5","14403","N/A","N/A","N/A","11"
"Malassezia restricta CBS 7877","10","no","FungiDB","9","0","0","INSDC","GCA_003691605.1","    7.30","GenBank","Oct 29, 2018","no","425264","Malassezia restricta","CBS 7877","N/A","1265","N/A","4155","3402","N/A","59","4096","5743","4096","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Malassezia globosa CBS 7966","10","no","FungiDB","0","43","0","GenBank","GCA_000181695.1","    8.93","GenBank","Nov 02, 2007","yes","425265","Malassezia globosa","CBS 7966","N/A","709","811","4286","3380","N/A","0","4286","3174","4286","N/A","0","N/A","N/A","N/A","N/A","1"
"Fusarium oxysporum f. sp. lycopersici 4287","10","no","FungiDB","15","70","0","GenBank","GCA_000149955.2","   61.47","GenBank","Aug 20, 2015","yes","426428","Fusarium oxysporum","f. sp. lycopersici 4287","N/A","1868","2578","21354","11657","N/A","429","20925","148348","20925","N/A","0","N/A","N/A","N/A","N/A","21"
"Trichoderma reesei QM6a","10","no","FungiDB","0","77","0","GenBank","GCA_000167675.2","   33.40","GenBank","Dec 13, 2012","yes","431241","Trichoderma reesei","QM6a","N/A","1203","4303","9120","6458","N/A","7","9113","30729","9113","N/A","0","9120","N/A","N/A","N/A","9"
"Globisporangium ultimum DAOM BR144","10","no","FungiDB","0","975","0","GenBank","GCA_000143045.1","   44.91","Ensembl","Mar 02, 2016","yes","431595","Globisporangium ultimum","DAOM BR144","N/A","1243","N/A","15430","9301","N/A","140","15290","6153","15290","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Talaromyces stipitatus ATCC 10500","10","no","FungiDB","0","820","0","GenBank","GCA_000003125.1","   35.72","GenBank","Mar 11, 2015","yes","441959","Talaromyces stipitatus","ATCC 10500","N/A","1734","N/A","12629","8566","N/A","146","12483","4417","12483","N/A","0","N/A","N/A","N/A","N/A","2"
"Talaromyces marneffei ATCC 18224","10","no","FungiDB","0","452","0","GenBank","GCA_000001985.1","   28.68","GenBank","Mar 11, 2015","yes","441960","Talaromyces marneffei","ATCC 18224","N/A","1341","37","10194","7416","N/A","145","10049","4453","10049","N/A","0","N/A","N/A","N/A","N/A","1"
"Coccidioides posadasii str. Silveira","10","no","FungiDB","0","54","0","GenBank","GCA_000170175.2","   27.58","GenBank","2015-03-13","yes","443226","Coccidioides posadasii","str. Silveira","N/A","1079","7616","10379","5746","N/A","154","10225","8677","10225","889","0","10379","N/A","10195","N/A","2"
"Histoplasma capsulatum G186AR","10","no","FungiDB","0","86","0","GenBank","GCA_000150115.1","   30.48","GenBank","Mar 11, 2015","no","447093","Histoplasma capsulatum","G186AR","N/A","1043","2626","9364","5560","N/A","110","9254","1959","9254","N/A","0","9364","N/A","N/A","N/A","8"
"Histoplasma capsulatum G217B","10","no","FungiDB","0","0","261","GenBank","GCA_000170615.1","   39.27","UCSF","Sep 21, 2005","yes","447094","Histoplasma capsulatum","G217B","N/A","627","2673","11221","4486","N/A","0","11221","2581","11221","N/A","0","11221","N/A","N/A","N/A","5"
"Blastomyces dermatitidis ATCC 26199","10","no","FungiDB","0","3282","0","INSDC","GCA_000166155.1","   71.52","GenBank","2015-03-13","no","447095","Blastomyces dermatitidis","ATCC 26199","N/A","887","N/A","9560","5745","N/A","380","9180","856","9180","N/A","232","9560","N/A","N/A","N/A","N/A"
"Aspergillus fumigatus A1163","10","no","FungiDB","0","55","0","GenBank","GCA_000150145.1","   29.21","AspGD","Dec 16, 2013","no","451804","Aspergillus fumigatus","A1163","N/A","1415","228","10106","7441","N/A","199","9907","45034","9907","N/A","0","N/A","N/A","N/A","N/A","41"
"Coccidioides posadasii RMSCC 3488","10","no","FungiDB","0","6","0","GenBank","GCA_000150055.1","   28.21","GenBank","Jun 29, 2015","no","454284","Coccidioides posadasii","RMSCC 3488","N/A","1069","7520","10016","5605","N/A","119","9897","8334","9897","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Coccidioides immitis RMSCC 3703","10","no","FungiDB","0","286","0","GenBank","GCA_000150085.1","   27.71","GenBank","2015-07-13","no","454286","Coccidioides immitis","RMSCC 3703","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Coccidioides posadasii RMSCC 2133","10","no","FungiDB","0","53","0","GenBank","GCA_000150185.1","   27.92","GenBank","2015-07-13","no","469470","Coccidioides posadasii","RMSCC 2133","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Coccidioides posadasii RMSCC 3700","10","no","FungiDB","0","241","0","GenBank","GCA_000150215.1","   25.49","GenBank","2015-07-13","no","469471","Coccidioides posadasii","RMSCC 3700","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Coccidioides posadasii CPA 0001","10","no","FungiDB","0","255","0","GenBank","GCA_000150245.1","   28.69","GenBank","2015-07-13","no","469472","Coccidioides posadasii","CPA 0001","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Paracoccidioides brasiliensis Pb03","10","no","FungiDB","0","65","0","GenBank","GCA_000150475.2","   29.06","GenBank","Nov 13, 2014","yes","482561","Paracoccidioides brasiliensis","Pb03","N/A","1047","4947","8548","5181","N/A","121","8427","2708","8427","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Schizosaccharomyces octosporus yFS286","10","no","FungiDB","0","5","0","GenBank","GCA_000150505.2","   11.68","GenBank","Mar 23, 2015","yes","483514","Schizosaccharomyces octosporus","yFS286","N/A","830","N/A","5355","4380","N/A","361","4994","70983","4994","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Coccidioides posadasii RMSCC 1037","10","no","FungiDB","0","633","0","GenBank","GCA_000150555.1","   26.66","GenBank","2015-07-13","no","490065","Coccidioides posadasii","RMSCC 1037","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Coccidioides posadasii RMSCC 1038","10","no","FungiDB","0","551","0","GenBank","GCA_000150585.1","   26.18","GenBank","2015-07-13","no","490066","Coccidioides posadasii","RMSCC 1038","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Coccidioides posadasii CPA 0020","10","no","FungiDB","0","620","0","GenBank","GCA_000150615.1","   27.35","GenBank","2015-07-13","no","490068","Coccidioides posadasii","CPA 0020","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Coccidioides posadasii CPA 0066","10","no","FungiDB","0","473","0","GenBank","GCA_000150645.1","   27.79","GenBank","2015-07-13","no","490069","Coccidioides posadasii","CPA 0066","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Penicillium rubens Wisconsin 54-1255","10","no","FungiDB","0","49","0","GenBank","GCA_000226395.1","   32.22","Ensembl","Feb 01, 2015","yes","500485","Penicillium rubens","Wisconsin 54-1255","N/A","1453","N/A","14021","7809","N/A","1464","12557","32583","12557","N/A","1","N/A","N/A","N/A","N/A","N/A"
"Paracoccidioides lutzii Pb01","10","no","FungiDB","0","110","0","GenBank","GCA_000150705.2","   32.93","GenBank","Nov 03, 2014","yes","502779","Paracoccidioides lutzii","Pb01","N/A","1054","765","8953","5348","N/A","127","8826","2706","8826","N/A","0","8953","N/A","6060","N/A","3"
"Paracoccidioides brasiliensis Pb18","10","no","FungiDB","0","57","0","GenBank","GCA_000150735.2","   29.95","GenBank","Oct 24, 2014","no","502780","Paracoccidioides brasiliensis","Pb18","N/A","1051","4972","8522","5232","N/A","132","8390","2755","8390","N/A","0","N/A","N/A","8364","N/A","N/A"
"Aspergillus oryzae RIB40","10","no","FungiDB","8","0","3","GenBank","GCA_000184455.3","   37.91","AspGD","Oct 04, 2015","yes","510516","Aspergillus oryzae","RIB40","N/A","1653","6373","12364","12066","N/A","274","12090","82696","12090","N/A","3","12364","N/A","N/A","N/A","12"
"Neurospora tetrasperma FGSC 2508","10","no","FungiDB","0","81","0","GenBank","GCA_000213175.1","   39.15","GenBank","Mar 13, 2015","yes","510951","Neurospora tetrasperma","FGSC 2508","N/A","1121","N/A","10380","5932","N/A","0","10380","1707","10380","N/A","0","10380","N/A","N/A","N/A","N/A"
"Neurospora discreta FGSC 8579","10","no","FungiDB","0","176","0","JGI","1","   37.30","JGI","1","yes","510953","Neurospora discreta","FGSC 8579","N/A","N/A","N/A","10345","4246","N/A","397","9948","3015","9948","N/A","4","9948","N/A","N/A","N/A","N/A"
"Podospora anserina S mat+","10","no","FungiDB","0","33","0","INSDC","GCA_000226545.1","   34.72","GenBank","Aug 21, 2013","yes","515849","Podospora anserina","S mat+","N/A","959","5893","10888","6989","N/A","370","10518","548","10518","N/A","9","N/A","N/A","N/A","N/A","N/A"
"Histoplasma capsulatum H88","10","no","FungiDB","0","16","0","GenBank","GCA_000151005.2","   37.94","GenBank","Jul 26, 2016","no","544711","Histoplasma capsulatum","H88","N/A","1031","2667","9666","5546","N/A","221","9445","1962","9445","N/A","0","9666","N/A","N/A","N/A","1"
"Histoplasma capsulatum H143","10","no","FungiDB","0","48","0","GenBank","GCA_000151035.1","   38.96","GenBank","Jul 24, 2016","no","544712","Histoplasma capsulatum","H143","N/A","996","2532","9796","5461","N/A","249","9547","1622","9547","N/A","0","9796","N/A","N/A","N/A","N/A"
"Saccharomyces cerevisiae S288C","10","no","FungiDB","16","0","0","GenBank","GCA_000146045.2","   12.16","SGD","Jul 12, 2013","yes","559292","Saccharomyces cerevisiae","S288C","N/A","1779","3896","6350","5925","5560","443","5907","94936","5907","N/A","18","6350","N/A","N/A","N/A","6"
"Blastomyces dermatitidis ER-3","10","no","FungiDB","0","27","0","INSDC","GCA_000003525.2","   66.61","GenBank","Jun 02, 2016","yes","559297","Blastomyces dermatitidis","ER-3","N/A","1092","N/A","10081","5730","N/A","326","9755","859","9755","N/A","194","N/A","N/A","N/A","N/A","N/A"
"Blastomyces gilchristii SLH14081","10","no","FungiDB","0","103","0","INSDC","GCA_000003855.2","   75.40","GenBank","Jun 02, 2016","yes","559298","Blastomyces gilchristii","SLH14081","N/A","1091","N/A","10148","5806","N/A","456","9692","840","9692","N/A","306","N/A","N/A","N/A","N/A","N/A"
"Hyaloperonospora arabidopsidis Emoy2","10","no","FungiDB","0","3044","0","GenBank","GCA_000173235.2","   78.90","Ensembl","Mar 02, 2016","yes","559515","Hyaloperonospora arabidopsidis","Emoy2","N/A","1029","N/A","14267","6179","N/A","285","13982","564","13982","N/A","0","14267","N/A","N/A","N/A","N/A"
"Thermothelomyces thermophilus ATCC 42464","10","no","FungiDB","7","0","0","INSDC","GCA_000226095.1","   38.74","GenBank","Sep 02, 2014","yes","573729","Thermothelomyces thermophilus","ATCC 42464","N/A","1189","4396","9292","6070","N/A","195","9097","94","9097","N/A","3","N/A","N/A","N/A","N/A","N/A"
"Candida parapsilosis CDC317","10","no","FungiDB","8","0","0","GenBank","GCA_000182765.2","   13.03","CGD","s01-m03-r30","yes","578454","Candida parapsilosis","CDC317","N/A","936","N/A","5984","5837","N/A","147","5837","18630","5837","N/A","0","5984","N/A","N/A","N/A","N/A"
"Tremella mesenterica DSM 1558","10","no","FungiDB","0","45","0","GenBank","GCA_000271645.1","   28.64","GenBank","Mar 18, 2015","yes","578456","Tremella mesenterica","DSM 1558","N/A","556","2720","8309","4088","N/A","1","8308","529","8308","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Allomyces macrogynus ATCC 38327","10","no","FungiDB","0","101","0","GenBank","GCA_000151295.1","   57.12","GenBank","Jul 31, 2015","yes","578462","Allomyces macrogynus","ATCC 38327","N/A","1989","1896","19333","11948","N/A","535","18798","17","18798","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus carbonarius ITEM 5010","10","no","FungiDB","0","829","0","GenBank","GCA_001990825.1","   36.15","GenBank","Feb 15, 2017","yes","602072","Aspergillus carbonarius","ITEM 5010","N/A","1504","189","11735","8002","N/A","260","11475","64411","11475","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Puccinia triticina 1-1 BBBD Race 1","10","no","FungiDB","0","0","14818","GenBank","GCA_000151525.2","  135.34","GenBank","Jun 06, 2016","yes","630390","Puccinia triticina","1-1 BBBD Race 1","N/A","1127","2791","15692","6277","N/A","814","14878","24752","14878","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Colletotrichum graminicola M1.001","10","no","FungiDB","0","653","0","INSDC","GCA_000149035.1","   51.64","GenBank","Jul 24, 2016","yes","645133","Colletotrichum graminicola","M1.001","N/A","1119","925","12400","8131","N/A","380","12020","153164","12020","N/A","1","N/A","N/A","N/A","N/A","N/A"
"Spizellomyces punctatus DAOM BR117","10","no","FungiDB","0","38","0","GenBank","GCA_000182565.2","   24.13","GenBank","Jul 29, 2015","yes","645134","Spizellomyces punctatus","DAOM BR117","N/A","1096","1411","9169","6333","N/A","219","8950","15","8950","N/A","0","N/A","N/A","N/A","N/A","1"
"Pseudogymnoascus destructans 20631-21","10","no","FungiDB","0","1846","0","INSDC","GCA_000184105.1","   30.68","GenBank","Mar 13, 2015","yes","658429","Pseudogymnoascus destructans","20631-21","N/A","847","N/A","9225","5668","N/A","150","9075","11545","9075","N/A","2","N/A","N/A","N/A","N/A","N/A"
"Fusarium oxysporum Fo47","10","no","FungiDB","0","124","0","GenBank","GCA_000271705.2","   49.66","GenBank","Aug 11, 2014","no","660027","Fusarium oxysporum","Fo47","N/A","1793","2653","18556","10912","N/A","365","18191","120423","18191","N/A","0","N/A","N/A","N/A","N/A","8"
"Fusarium oxysporum NRRL 32931","10","no","FungiDB","0","168","0","GenBank","GCA_000271745.2","   47.91","GenBank","Mar 18, 2015","no","660029","Fusarium oxysporum","NRRL 32931","N/A","1692","2651","17642","8578","N/A","362","17280","119866","17280","N/A","7","N/A","N/A","N/A","N/A","N/A"
"Sclerotinia sclerotiorum 1980 UF-70","10","no","FungiDB","16","0","0","GenBank","GCA_001857865.1","   38.91","GenBank","Oct 31, 2016","yes","665079","Sclerotinia sclerotiorum","1980 UF-70","N/A","1242","1009","11368","7328","N/A","238","11130","44641","11130","N/A","0","N/A","N/A","N/A","N/A","2"
"Aspergillus aculeatus ATCC 16872","10","no","FungiDB","0","660","0","GenBank","GCA_001890905.1","   35.42","GenBank","Dec 08, 2016","yes","690307","Aspergillus aculeatus","ATCC 16872","N/A","1459","N/A","11165","7861","N/A","322","10843","67768","10843","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Saprolegnia parasitica CBS 223.65","10","no","FungiDB","0","1442","0","GenBank","GCA_000151545.2","   53.13","GenBank","Mar 23, 2015","yes","695850","Saprolegnia parasitica","CBS 223.65","N/A","1440","849","20435","12261","N/A","314","20121","4549","20121","N/A","0","N/A","N/A","N/A","N/A","3"
"Rhizophagus irregularis DAOM 181602=DAOM 197198","10","no","FungiDB","0","0","1111","GenBank","GCA_000439145.3","  136.73","GenBank","Jan 30, 2018","yes","747089","Rhizophagus irregularis","DAOM 181602=DAOM 197198","N/A","1237","3","26245","13675","N/A","102","26143","3699","26143","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Melampsora larici-populina 98AG31","10","no","FungiDB","0","462","0","GenBank","GCA_000204055.1","  101.13","GenBank","Mar 13, 2015","yes","747676","Melampsora larici-populina","98AG31","N/A","1105","4677","16380","6198","N/A","8","16372","1184","16372","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Mucor lusitanicus CBS 277.49","10","no","FungiDB","0","26","0","GenBank","GCA_001638945.1","   36.59","JGI","2","yes","747725","Mucor lusitanicus","CBS 277.49","N/A","899","N/A","11719","8002","N/A","0","11719","659","11719","N/A","0","11719","N/A","N/A","N/A","4"
"Phytophthora parasitica INRA-310","10","no","FungiDB","0","708","0","GenBank","GCA_000247585.2","   82.39","GenBank","Mar 23, 2015","yes","761204","Phytophthora parasitica","INRA-310","N/A","1435","4071","23240","10599","N/A","119","23121","88611","23121","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Phycomyces blakesleeanus NRRL 1555(-)","10","no","FungiDB","0","80","0","GenBank","GCA_001638985.2","   53.94","JGI","2","yes","763407","Phycomyces blakesleeanus","NRRL 1555(-)","N/A","813","5336","16528","8469","N/A","0","16528","57","16528","N/A","0","N/A","N/A","N/A","N/A","1"
"Phytophthora capsici LT1534","10","no","FungiDB","0","917","0","GenBank","GCA_000325885.1","   64.02","JGI","11","yes","763924","Phytophthora capsici","LT1534","N/A","862","6498","19805","10174","N/A","0","19805","80136","19805","N/A","0","N/A","N/A","N/A","N/A","1"
"Aspergillus brasiliensis CBS 101740","10","no","FungiDB","0","103","0","GenBank","GCA_001889945.1","   35.80","GenBank","Dec 08, 2016","yes","767769","Aspergillus brasiliensis","CBS 101740","N/A","1492","N/A","13263","8673","N/A","274","12989","49285","12989","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus tubingensis CBS 134.48","10","no","FungiDB","0","33","0","GenBank","GCA_001890745.1","   35.15","GenBank","Dec 07, 2016","yes","767770","Aspergillus tubingensis","CBS 134.48","N/A","1509","N/A","12592","8332","N/A","274","12318","48919","12318","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Sordaria macrospora k-hell","10","no","FungiDB","0","4782","0","GenBank","GCA_000182805.2","   39.96","Bochum","Aug 25, 2015","yes","771870","Sordaria macrospora","k-hell","N/A","1272","N/A","11311","6517","N/A","484","10827","2688","10827","N/A","0","N/A","N/A","N/A","N/A","53"
"Cenococcum geophilum 1.58","10","no","FungiDB","0","268","0","GenBank","GCA_001692895.1","  177.56","GenBank","Jul 26, 2016","yes","794803","Cenococcum geophilum","1.58","N/A","790","N/A","14745","6380","N/A","38","14707","2093","14707","N/A","0","N/A","N/A","N/A","N/A","1"
"Exophiala dermatitidis NIH/UT8656","10","no","FungiDB","0","10","0","INSDC","GCA_000230625.1","   26.38","GenBank","Mar 17, 2015","yes","858893","Exophiala dermatitidis","NIH/UT8656","N/A","1180","N/A","9356","6540","N/A","71","9285","2270","9285","N/A","0","9356","N/A","N/A","N/A","N/A"
"Epichloe festucae Fl1","10","no","FungiDB","7","0","0","INSDC","GCA_003814445.1","   35.02","N/A","N/A","yes","877507","Epichloe festucae","Fl1","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Albugo laibachii Nc14","10","no","FungiDB","0","3827","0","Ensembl","Mar 02, 2016","   32.77","Ensembl","Mar 02, 2016","yes","890382","Albugo laibachii","Nc14","N/A","837","N/A","14629","5717","N/A","180","13805","166","14449","N/A","644","N/A","N/A","N/A","N/A","N/A"
"Albugo candida 2VRR","10","no","FungiDB","0","252","0","Saskatchewan","2014-05-13","   34.56","Saskatchewan","2014-05-13","yes","911350","Albugo candida","2VRR","N/A","N/A","5671","15896","4485","N/A","72","15824","2","15824","N/A","4","N/A","N/A","N/A","N/A","N/A"
"Sporisorium reilianum SRZ2","10","no","FungiDB","23","0","21","GenBank","GCA_000230245.1","   18.48","GenBank","Feb 27, 2015","yes","999809","Sporisorium reilianum","SRZ2","N/A","923","N/A","6791","4886","N/A","118","6673","11224","6673","N/A","0","N/A","N/A","N/A","N/A","1"
"Aphanomyces astaci strain APO3","10","no","FungiDB","0","835","0","GenBank","GCA_000520075.1","   75.84","GenBank","Jan 14, 2014","yes","N/A","Aphanomyces astaci","strain APO3","N/A","1389","N/A","19584","10477","N/A","465","19119","4158","19119","N/A","0","N/A","N/A","N/A","N/A","3"
"Aphanomyces invadans NJM9701","10","no","FungiDB","0","481","0","GenBank","GCA_000520115.1","   71.40","GenBank","Jan 15, 2014","yes","N/A","Aphanomyces invadans","NJM9701","N/A","1300","N/A","15416","9228","N/A","168","15248","3843","15248","N/A","0","N/A","N/A","N/A","N/A","3"
"Aspergillus lentulus strain IFM 54703","10","no","FungiDB","0","19","0","INSDC","GCA_001445615.1","   30.96","GenBank","Nov 13, 2015","yes","N/A","Aspergillus lentulus","strain IFM 54703","N/A","1399","N/A","9986","7150","N/A","306","9680","67561","9680","N/A","0","N/A","N/A","8774","N/A","N/A"
"Amauroascus mutatus isolate UAMH 3576","10","no","FungiDB","0","0","3075","GenBank","GCA_001430935.1","   30.38","n/a","n/a","yes","N/A","Amauroascus mutatus","isolate UAMH 3576","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus niger strain LDM3","10","no","FungiDB","0","14","0","INSDC","GCA_009812365.1","   35.27","N/A","N/A","no","N/A","Aspergillus niger","strain LDM3","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus niger strain N402 (ATCC64974)","10","no","FungiDB","0","0","19","GenBank","GCA_900248155.1","   35.57","GenBank","Jan 26, 2018","no","N/A","Aspergillus niger","strain N402 (ATCC64974)","N/A","1544","5630","11187","8424","N/A","0","11187","47695","11187","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Amauroascus niger isolate UAMH 3544","10","no","FungiDB","0","0","3481","GenBank","GCA_001430945.1","   36.72","n/a","n/a","yes","N/A","Amauroascus niger","isolate UAMH 3544","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus thermomutatus strain HMR AF 39","10","no","FungiDB","0","647","0","INSDC","GCA_002237265.2","   30.95","GenBank","Sep 12, 2018","yes","N/A","Aspergillus thermomutatus","strain HMR AF 39","N/A","1374","N/A","9702","7042","N/A","0","9702","46086","9702","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Byssoonygena ceratinophila isolate UAMH 5669","10","no","FungiDB","0","0","4851","GenBank","GCA_001430925.1","   27.45","n/a","n/a","yes","N/A","Byssoonygena ceratinophila","isolate UAMH 5669","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Bremia lactucae strain SF5","10","no","FungiDB","0","121","0","INSDC","GCA_004359215.1","  115.90","GenBank","Mar 19, 2019","yes","N/A","Bremia lactucae","strain SF5","N/A","740","N/A","9767","5657","N/A","0","9767","263","9767","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Blastomyces percursus strain EI222","10","no","FungiDB","0","3868","0","INSDC","GCA_001883805.1","   32.31","GenBank","Nov 18, 2016","yes","N/A","Blastomyces percursus","strain EI222","N/A","873","N/A","10384","5746","N/A","99","10285","726","10285","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Candida albicans SC5314_B","10","no","FungiDB","8","0","0","CGD","A22-s07-m01-r59","   14.28","CGD","A22-s07-m01-r59","no","N/A","Candida albicans","SC5314_B","N/A","2","21","6415","3589","N/A","215","6191","20646","6200","N/A","9","N/A","N/A","N/A","N/A","N/A"
"Candida auris strain 6684","10","no","FungiDB","0","99","0","INSDC","GCA_001189475.1","   12.50","GenBank","Aug 04, 2017","no","N/A","[Candida] auris","6684","N/A","821","N/A","8301","3953","N/A","840","7461","18300","7461","N/A","8","N/A","N/A","N/A","N/A","N/A"
"Candida auris strain B11220","10","no","FungiDB","7","0","0","INSDC","GCA_003013715.2","   12.25","GenBank","Sep 10, 2019","no","N/A","[Candida] auris","B11220","N/A","852","N/A","5494","4174","N/A","167","5327","31193","5327","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Candida auris strain B11221","10","no","FungiDB","0","20","0","INSDC","GCA_002775015.1","   12.74","GenBank","Jul 02, 2019","no","N/A","[Candida] auris","B11221","N/A","545","N/A","5715","4224","N/A","194","5521","25007","5521","N/A","3","N/A","N/A","N/A","N/A","N/A"
"Candida auris strain B11243","10","no","FungiDB","0","238","0","INSDC","GCA_003014415.1","   12.35","GenBank","Mar 23, 2018","no","N/A","[Candida] auris","B11243","N/A","541","N/A","5595","3807","N/A","158","5437","23502","5437","N/A","3","N/A","N/A","N/A","N/A","N/A"
"Candida auris strain B11245","10","no","FungiDB","7","0","0","INSDC","GCA_008275145.1","   12.43","GenBank","Sep 05, 2019","no","N/A","[Candida] auris","B11245","N/A","533","N/A","5675","3682","N/A","169","5506","27613","5506","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Candida auris strain B8441","10","no","FungiDB","0","15","0","GenBank","GCA_002759435.2","   12.37","GenBank","Nov. 15, 2017","yes","N/A","[Candida] auris","B8441","N/A","870","N/A","5584","4680","N/A","167","5417","23475","5417","N/A","0","5584","N/A","5371","N/A","2"
"Cladophialophora carrionii KSF","10","no","FungiDB","0","0","22","GenBank","GCA_001700775.1","   29.81","GenBank","Aug 08, 2016","yes","N/A","Cladophialophora carrionii","KSF","N/A","1266","N/A","11240","7342","N/A","59","11181","159","11181","N/A","0","N/A","N/A","N/A","N/A","7"
"Candida duobushaemulonis strain B09383","10","no","FungiDB","0","0","7","GenBank","GCA_002926085.1","   12.58","GenBank","May 01, 2018","yes","N/A","[Candida] duobushaemulonis","B09383","N/A","852","N/A","5329","4025","N/A","156","5173","8574","5173","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Candida haemulonis B11899","10","no","FungiDB","0","0","11","GenBank","GCA_002926055.1","   13.31","GenBank","May 01, 2018","yes","N/A","[Candida] haemuloni","B11899","N/A","852","N/A","5409","4092","N/A","160","5249","8896","5249","N/A","0","N/A","N/A","1811","N/A","N/A"
"Cladophialophora immunda strain CBS 83496","10","no","FungiDB","0","277","0","GenBank","GCA_000835495.1","   43.03","GenBank","Jun 16, 2016","yes","N/A","Cladophialophora immunda","strain CBS 83496","N/A","1354","N/A","12879","8577","N/A","49","12830","142","12830","N/A","0","N/A","N/A","N/A","N/A","N/A"
